Species	Phylum	Order	Genus	TaxID	Num_Prot	niacin_synthesis	nadB_niacin_asp	nadA_niacin_asp	nadC_niacin_asp	kmo_niacin_trp	hpaB_niacin_trp	kynu_niacin_trp	had_niacin_trp
Desulfovibrio fairfieldensis	Proteobacteria	Desulfovibrionales	Desulfovibrio	44742	3022	1	1	1	1	0	0	0	0
Leptotrichia hofstadii	Fusobacteria	Fusobacteriales	Leptotrichia	157688	3889	0	0	0	0	0	0	0	0
Leptotrichia wadei	Fusobacteria	Fusobacteriales	Leptotrichia	157687	7686	1	1	1	1	0	0	0	0
Clostridium sp. MSTE9	Firmicutes	Clostridiales	Clostridium	1105031	5920	0	0	0	0	0	1	0	0
Atopobium sp. ICM58	Actinobacteria	Coriobacteriales	Atopobium	1105030	3752	0	1	0	0	0	0	0	0
Cyanobacterium aponinum	Cyanobacteria	Chroococcales	Cyanobacterium	379064	3392	1	1	1	1	1	0	0	0
Streptomyces bingchenggensis	Actinobacteria	Streptomycetales	Streptomyces	379067	8765	1	1	1	1	1	1	1	0
Haemophilus pittmaniae HK 85	Proteobacteria	Pasteurellales	Haemophilus	1035188	2394	0	1	0	0	0	0	0	0
Rhodanobacter sp. 115	Proteobacteria	Xanthomonadales	Rhodanobacter	1162282	7133	1	1	1	1	1	0	1	1
Orientia tsutsugamushi	Proteobacteria	Rickettsiales	Orientia	784	10621	0	1	0	0	0	0	0	0
Rickettsia conorii	Proteobacteria	Rickettsiales	Rickettsia	781	2079	0	1	0	0	0	0	0	0
Rickettsia rickettsii	Proteobacteria	Rickettsiales	Rickettsia	783	2227	0	1	0	0	0	0	0	0
Luteipulveratus sp. C296001	Actinobacteria	Micrococcales	Luteipulveratus	1631356	8018	1	1	1	1	0	0	0	0
Bifidobacterium merycicum	Actinobacteria	Bifidobacteriales	Bifidobacterium	78345	3555	1	1	1	1	0	0	0	0
Bifidobacterium gallinarum	Actinobacteria	Bifidobacteriales	Bifidobacterium	78344	3062	0	1	0	0	0	0	0	0
Bifidobacterium ruminantium	Actinobacteria	Bifidobacteriales	Bifidobacterium	78346	3569	1	1	1	1	0	0	0	0
Bifidobacterium boum	Actinobacteria	Bifidobacteriales	Bifidobacterium	78343	3217	1	1	1	1	0	0	0	0
Alicycliphilus sp. CRZ1	Proteobacteria	Burkholderiales	Alicycliphilus	1200791	2371	1	1	1	1	0	0	0	0
Serratia nematodiphila	Proteobacteria	Enterobacteriales	Serratia	458197	6035	1	1	1	1	0	1	0	0
Carnobacterium sp. CP1	Firmicutes	Lactobacillales	Carnobacterium	1564681	4705	0	0	0	0	0	0	0	0
Lactococcus sp. DD01	Firmicutes	Lactobacillales	Lactococcus	1776443	3601	0	1	0	0	0	1	0	0
Oceanibulbus indolifex	Proteobacteria	Rhodobacterales	Oceanibulbus	225422	3769	1	1	1	1	0	0	1	0
Hirschia baltica	Proteobacteria	Rhodobacterales	Hirschia	2724	3165	1	1	1	1	1	0	0	0
alpha proteobacterium RS24	Proteobacteria	root	root	1397666	3744	1	1	1	1	1	1	0	0
Saccharothrix sp. ST-888	Actinobacteria	Pseudonocardiales	Saccharothrix	1427391	11877	1	1	1	1	0	1	0	0
Burkholderiales bacterium GJ-E10	Proteobacteria	Burkholderiales	root	1469502	5905	1	1	1	1	0	0	0	0
Sphingobium sp. MI1205	Proteobacteria	Sphingomonadales	Sphingobium	407020	4585	1	1	1	1	0	0	0	0
Bradyrhizobium sp. YR681	Proteobacteria	Rhizobiales	Bradyrhizobium	1144344	14563	1	1	1	1	1	1	1	0
Herbaspirillum sp. YR522	Proteobacteria	Burkholderiales	Herbaspirillum	1144342	8951	1	1	1	1	0	1	0	0
Phyllobacterium sp. YR531	Proteobacteria	Rhizobiales	Phyllobacterium	1144343	9534	1	1	1	1	0	0	1	0
Pseudomonas sp. GM84	Proteobacteria	Pseudomonadales	Pseudomonas	1144340	10012	1	1	1	1	0	0	0	0
Pantoea sp. YR343	Proteobacteria	Enterobacteriales	Pantoea	1144341	9301	1	1	1	1	0	0	0	0
Clostridium algidicarnis	Firmicutes	Clostridiales	Clostridium	37659	2670	0	0	0	0	0	0	0	0
Variovorax paradoxus	Proteobacteria	Burkholderiales	Variovorax	34073	113695	1	1	1	1	1	1	1	1
Vibrio rumoiensis	Proteobacteria	Vibrionales	Vibrio	76258	2968	1	1	1	1	0	0	0	0
Frankia sp. Iso899	Actinobacteria	Frankiales	Frankia	1283283	4625	1	1	1	1	0	0	1	0
Cupriavidus sp. SK-4	Proteobacteria	Burkholderiales	Cupriavidus	574750	12587	1	1	1	1	0	1	1	0
Rheinheimera sp. A13L	Proteobacteria	Chromatiales	Rheinheimera	506534	7800	1	1	1	1	0	0	0	0
Ideonella sakaiensis	Proteobacteria	Burkholderiales	Ideonella	1547922	10693	1	1	1	1	0	1	1	0
Bradyrhizobium sp. SEMIA 6148	Proteobacteria	Rhizobiales	Bradyrhizobium	312253	7752	1	1	1	1	1	1	0	0
Sphingomonas parapaucimobilis	Proteobacteria	Sphingomonadales	Sphingomonas	28213	3299	1	1	1	1	0	0	0	0
Bacillus azotoformans	Firmicutes	Bacillales	Bacillus	1454	7707	1	1	1	1	0	1	0	1
Bacillus badius	Firmicutes	Bacillales	Bacillus	1455	14588	1	1	1	1	0	1	1	0
Prosthecochloris aestuarii	Chlorobi	Chlorobiales	Prosthecochloris	1102	2304	1	1	1	1	0	0	0	0
Paenibacillus amylolyticus	Firmicutes	Bacillales	Paenibacillus	1451	5995	1	1	1	1	0	1	0	0
Pelodictyon luteolum	Chlorobi	Chlorobiales	Pelodictyon	1100	2103	1	1	1	1	0	0	0	0
Corynebacterium variabile	Actinobacteria	Corynebacteriales	Corynebacterium	1727	9924	1	1	1	1	0	0	1	0
Methylobacterium extorquens	Proteobacteria	Rhizobiales	Methylobacterium	408	14163	1	1	1	1	1	0	0	0
Aquimarina megaterium	Bacteroidetes	Flavobacteriales	Aquimarina	1443666	5011	1	1	1	1	1	0	1	1
Gulbenkiania indica	Proteobacteria	Neisseriales	Gulbenkiania	375574	4262	1	1	1	1	0	0	0	0
Streptomyces pluripotens	Actinobacteria	Streptomycetales	Streptomyces	1355015	22542	1	1	1	1	1	1	1	0
Aeromonas fluvialis	Proteobacteria	Aeromonadales	Aeromonas	591962	3170	1	1	1	1	0	0	0	0
Rhodococcus sp. 311R	Actinobacteria	Corynebacteriales	Rhodococcus	1617904	2218	0	1	0	0	0	0	1	0
Microbacterium hydrocarbonoxydans	Actinobacteria	Micrococcales	Microbacterium	273678	10281	1	1	1	1	1	0	1	0
Spiroplasma turonicum	Tenericutes	Entomoplasmatales	Spiroplasma	216946	2152	0	0	0	0	0	0	0	0
Microbacterium oleivorans	Actinobacteria	Micrococcales	Microbacterium	273677	7036	1	1	1	1	0	0	0	0
Alkanindiges illinoisensis	Proteobacteria	Pseudomonadales	Alkanindiges	197183	2938	1	1	1	1	0	0	0	0
OM182 bacterium BACL3 MAG-120619-bin3	Proteobacteria	root	root	1655593	2145	1	1	1	1	0	0	0	0
Geobacter daltonii	Proteobacteria	Desulfuromonadales	Geobacter	1203471	3711	1	1	1	1	0	0	0	0
Rhodobacter sp. BACL10 MAG-120910-bin24	Proteobacteria	Rhodobacterales	Rhodobacter	1655597	2421	0	1	0	0	1	0	1	0
Shewanella sp. Sh95	Proteobacteria	Alteromonadales	Shewanella	1689868	6273	1	1	1	1	0	0	1	0
Halomonas xinjiangensis	Proteobacteria	Oceanospirillales	Halomonas	1166948	3337	1	1	1	1	0	0	0	0
Thiomonas sp. CB2	Proteobacteria	Burkholderiales	Thiomonas	554131	3786	1	1	1	1	0	0	1	0
Streptomyces sp. CNB091	Actinobacteria	Streptomycetales	Streptomyces	1169156	6552	1	1	1	1	1	0	1	1
Streptomyces sp. CNQ766	Actinobacteria	Streptomycetales	Streptomyces	1169157	3065	0	1	0	0	0	0	0	0
Streptomyces sp. CNT372	Actinobacteria	Streptomycetales	Streptomyces	1169154	5241	1	1	1	1	1	1	1	0
Streptomyces sp. CNT302	Actinobacteria	Streptomycetales	Streptomyces	1169155	4215	1	1	1	1	1	1	1	0
Nocardia sp. CNY236	Actinobacteria	Corynebacteriales	Nocardia	1169152	4602	1	1	1	1	0	0	1	0
Nocardiopsis sp. CNS639	Actinobacteria	Streptosporangiales	Nocardiopsis	1169153	4712	1	1	1	1	1	0	1	0
Micromonospora sp. CNB394	Actinobacteria	Micromonosporales	Micromonospora	1169151	5217	1	1	1	1	1	0	1	1
Streptomyces sp. CNS615	Actinobacteria	Streptomycetales	Streptomyces	1169158	4246	1	1	1	1	1	1	1	0
Streptomyces sp. CNY228	Actinobacteria	Streptomycetales	Streptomyces	1169159	2766	0	1	1	0	0	0	0	0
Streptomyces sp. FXJ7.023	Actinobacteria	Streptomycetales	Streptomyces	579932	4789	0	1	0	0	1	0	1	0
Geobacter sp. OR-1	Proteobacteria	Desulfuromonadales	Geobacter	1266765	8038	1	1	1	1	0	0	0	0
Prevotella paludivivens	Bacteroidetes	Bacteroidales	Prevotella	185294	2786	1	1	1	1	0	0	0	0
Prevotella oryzae	Bacteroidetes	Bacteroidales	Prevotella	185293	2526	1	1	1	1	0	0	0	0
Burkholderia terrestris	Proteobacteria	Burkholderiales	Burkholderia	1226301	7624	1	1	1	1	0	1	1	0
Streptococcus sp. A12	Firmicutes	Lactobacillales	Streptococcus	1759399	2910	0	0	0	0	0	0	0	0
Betaproteobacteria bacterium SG8_40	Proteobacteria	root	root	1703389	2268	1	1	1	1	0	0	0	0
Anaerolineae bacterium SM23_84	Chloroflexi	root	root	1703388	2913	0	1	1	0	0	0	0	0
Williamsia sp. D3	Actinobacteria	Corynebacteriales	Williamsia	1313067	9254	1	1	1	1	0	0	0	0
Porphyromonas uenonis	Bacteroidetes	Bacteroidales	Porphyromonas	281920	3413	1	1	1	1	0	1	0	0
Acidithiobacillales bacterium SG8_45	Proteobacteria	Acidithiobacillales	root	1703383	2093	0	0	1	1	0	0	0	0
Acidithiobacillales bacterium SM23_46	Proteobacteria	Acidithiobacillales	root	1703385	2516	0	1	0	1	0	0	0	0
Acidithiobacillales bacterium SM1_46	Proteobacteria	Acidithiobacillales	root	1703384	2439	1	1	1	1	0	0	0	0
Anaerolineae bacterium SM23_ 63	Chloroflexi	root	root	1703387	3369	0	1	0	0	0	1	0	0
Anaerolineae bacterium SG8_19	Chloroflexi	root	root	1703386	3711	0	1	0	0	0	0	1	0
Bacteroides faecis	Bacteroidetes	Bacteroidales	Bacteroides	674529	4012	1	1	1	1	0	0	0	0
Nonlabens sp. MIC269	Bacteroidetes	Flavobacteriales	Nonlabens	1476901	4435	0	1	0	1	1	0	1	1
actinobacterium acAcidi	Actinobacteria	root	root	1504320	2883	1	1	1	1	0	0	0	0
Ruminococcus sp. SR1/5	Firmicutes	Clostridiales	Ruminococcus	657323	3262	0	1	0	0	0	0	0	0
Prolixibacter bellariivorans	Bacteroidetes	Bacteroidales	Prolixibacter	314319	4955	1	1	1	1	0	0	0	0
Ureibacillus thermosphaericus	Firmicutes	Bacillales	Ureibacillus	51173	2663	1	1	1	1	0	0	0	0
Hoeflea sp. 108	Proteobacteria	Rhizobiales	Hoeflea	1116369	5610	1	1	1	1	0	0	1	1
Flavobacterium beibuense	Bacteroidetes	Flavobacteriales	Flavobacterium	657326	3349	0	1	0	1	1	0	1	1
Citrobacter pasteurii	Proteobacteria	Enterobacteriales	Citrobacter	1563222	8282	1	1	1	1	0	0	0	0
Streptomyces sp. LaPpAH-202	Actinobacteria	Streptomycetales	Streptomyces	1155716	2785	0	1	1	0	0	0	1	0
Streptomyces sp. CcalMP-8W	Actinobacteria	Streptomycetales	Streptomyces	1155715	5320	1	1	1	1	1	1	1	0
Streptomyces sp. LaPpAH-108	Actinobacteria	Streptomycetales	Streptomyces	1155714	5793	1	1	1	1	0	0	1	0
Pseudomonas sp. StFLB209	Proteobacteria	Pseudomonadales	Pseudomonas	1028989	10972	1	1	1	1	0	0	1	0
Criblamydia sequanensis	Chlamydiae	Chlamydiales	Criblamydia	340071	2406	0	1	0	0	0	0	0	0
Acinetobacter sp. ANC 4105	Proteobacteria	Pseudomonadales	Acinetobacter	1217703	6668	1	1	1	1	0	0	0	0
Acinetobacter sp. NIPH 1867	Proteobacteria	Pseudomonadales	Acinetobacter	1217702	6417	1	1	1	1	0	0	0	0
Acinetobacter sp. ANC 3880	Proteobacteria	Pseudomonadales	Acinetobacter	1217701	6391	1	1	1	1	0	0	1	0
Acinetobacter sp. CIP 70.18	Proteobacteria	Pseudomonadales	Acinetobacter	1217700	4425	1	1	1	1	1	0	1	0
Pseudonocardia sp. P1	Actinobacteria	Pseudonocardiales	Pseudonocardia	761194	3735	0	0	0	0	0	0	1	0
Acinetobacter sp. NIPH 2168	Proteobacteria	Pseudomonadales	Acinetobacter	1217706	6112	1	1	1	1	1	0	0	0
Acinetobacter sp. ANC 3862	Proteobacteria	Pseudomonadales	Acinetobacter	1217705	6080	1	1	1	1	0	0	0	0
Acinetobacter sp. NIPH 284	Proteobacteria	Pseudomonadales	Acinetobacter	1217704	5309	1	1	1	1	0	0	0	0
Hydrogenophaga intermedia	Proteobacteria	Burkholderiales	Hydrogenophaga	65786	5763	1	1	1	1	0	1	1	0
Acinetobacter sp. NIPH 713	Proteobacteria	Pseudomonadales	Acinetobacter	1217709	4622	1	1	1	1	0	0	0	0
Acinetobacter sp. NIPH 2100	Proteobacteria	Pseudomonadales	Acinetobacter	1217708	6586	1	1	1	1	0	0	0	0
Pandoraea pulmonicola	Proteobacteria	Burkholderiales	Pandoraea	93221	9086	1	1	1	1	0	1	1	1
Marinobacter sp. ELB17	Proteobacteria	Alteromonadales	Marinobacter	270374	9056	1	1	1	1	0	0	0	0
alpha proteobacterium Q-1	Proteobacteria	root	root	1492281	5464	1	1	1	1	0	0	1	0
Cellulomonas sp. A375-1	Actinobacteria	Micrococcales	Cellulomonas	1672219	6189	1	1	1	1	0	0	0	0
Bacteroides dorei	Bacteroidetes	Bacteroidales	Bacteroides	357276	21574	1	1	1	1	0	0	0	0
Sphingomonas sp. PR090111-T3T-6A	Proteobacteria	Sphingomonadales	Sphingomonas	685778	3576	1	1	1	1	0	0	1	0
Ilumatobacter coccineus	Actinobacteria	Acidimicrobiales	Ilumatobacter	467094	4169	1	1	1	1	0	0	1	0
Lactobacillus parabrevis	Firmicutes	Lactobacillales	Lactobacillus	357278	4575	0	0	0	0	0	0	0	0
Ilumatobacter nonamiensis	Actinobacteria	Acidimicrobiales	Ilumatobacter	467093	3862	1	1	1	1	0	0	1	0
Paenibacillus wulumuqiensis	Firmicutes	Bacillales	Paenibacillus	1567107	4259	1	1	1	1	0	0	0	0
Bacteroides sp. HPS0048	Bacteroidetes	Bacteroidales	Bacteroides	1078089	7812	1	1	1	1	0	0	0	0
Mycobacterium sp. MOTT36Y	Actinobacteria	Corynebacteriales	Mycobacterium	1168287	6236	1	1	1	1	0	0	0	0
Chryseobacterium sp. Hurlbut01	Bacteroidetes	Flavobacteriales	Chryseobacterium	1681828	5883	1	1	1	1	1	0	0	0
Citricoccus sp. CH26A	Actinobacteria	Micrococcales	Citricoccus	1045009	2789	1	1	1	1	0	1	0	0
Pseudoalteromonas citrea	Proteobacteria	Alteromonadales	Pseudoalteromonas	43655	8335	1	1	1	1	1	0	1	0
Mycobacterium sp. H4Y	Actinobacteria	Corynebacteriales	Mycobacterium	1168288	5811	1	1	1	1	0	0	0	0
Streptomyces sp. XY66	Actinobacteria	Streptomycetales	Streptomyces	1415563	8573	0	1	1	0	0	0	1	0
Streptomyces sp. XY431	Actinobacteria	Streptomycetales	Streptomyces	1415562	12568	1	1	1	1	1	0	1	0
Streptomyces sp. XY332	Actinobacteria	Streptomycetales	Streptomyces	1415561	13916	1	1	1	1	1	0	1	0
Streptomyces sp. XY152	Actinobacteria	Streptomycetales	Streptomyces	1415560	9393	0	1	1	0	0	0	1	0
Polaribacter sp. Hel1_85	Bacteroidetes	Flavobacteriales	Polaribacter	1250005	6691	1	1	1	1	1	0	1	1
Synechococcus sp. WH 8016	Cyanobacteria	Chroococcales	Synechococcus	166318	5695	1	1	1	1	0	0	0	0
Polaribacter sp. Hel_I_88	Bacteroidetes	Flavobacteriales	Polaribacter	1250006	3318	0	1	0	1	1	0	1	1
Synechococcus sp. WH 8109	Cyanobacteria	Chroococcales	Synechococcus	166314	4710	1	1	1	1	0	0	0	0
Mesorhizobium sp. LNHC232B00	Proteobacteria	Rhizobiales	Mesorhizobium	1287243	11842	1	1	1	1	0	1	1	0
Rhizobium sp. IRBG74	Proteobacteria	Rhizobiales	Rhizobium	424182	8055	1	1	1	1	1	0	0	0
Enterobacter sp. FY-07	Proteobacteria	Enterobacteriales	Enterobacter	1692238	9454	1	1	1	1	0	0	0	0
Microbacterium sp. GCS4	Actinobacteria	Micrococcales	Microbacterium	1692239	6689	1	1	1	1	0	0	1	0
Methylophilus sp. TWE2	Proteobacteria	Methylophilales	Methylophilus	1662285	5398	1	1	1	1	0	0	0	0
Opitutaceae bacterium TAV1	Verrucomicrobia	Opitutales	root	278956	10823	1	1	1	1	0	0	0	0
Desulfovibrio aespoeensis	Proteobacteria	Desulfovibrionales	Desulfovibrio	182210	3182	1	1	1	1	0	0	0	0
Thalassobius sp. CECT 5114	Proteobacteria	Rhodobacterales	Thalassobius	1715690	3832	1	1	1	1	0	0	0	0
Thalassobius sp. CECT 5113	Proteobacteria	Rhodobacterales	Thalassobius	1715691	3587	1	1	1	1	0	0	0	0
Ruegeria sp. CECT 5091	Proteobacteria	Rhodobacterales	Ruegeria	1715692	8872	1	1	1	1	0	0	1	0
Calothrix sp. 336/3	Cyanobacteria	Nostocales	Calothrix	1337936	10163	1	1	1	1	1	0	0	0
Xenophilus azovorans	Proteobacteria	Burkholderiales	Xenophilus	151755	5375	1	1	1	1	1	0	0	0
Winogradskyella sp. PG-2	Bacteroidetes	Flavobacteriales	Winogradskyella	754409	6785	0	1	0	1	1	0	1	1
Edwardsiella sp. LADL05-105	Proteobacteria	Enterobacteriales	Edwardsiella	1650654	3158	0	1	0	0	0	0	0	0
Actinobacteria bacterium IMCC26256	Actinobacteria	root	root	1650658	4531	1	1	1	1	0	0	0	0
Thiohalocapsa sp. ML1	Proteobacteria	Chromatiales	Thiohalocapsa	1431688	5047	1	1	1	1	0	0	0	0
Halotalea alkalilenta	Proteobacteria	Oceanospirillales	Halotalea	376489	3814	1	1	1	1	1	1	0	0
Candidatus Methylomirabilis oxyfera	candidate division NC10	root	Candidatus Methylomirabilis	671143	3073	1	1	1	1	0	0	0	0
Tetrasphaera australiensis	Actinobacteria	Micrococcales	Tetrasphaera	99480	3523	1	1	1	1	1	0	0	0
Curtobacterium oceanosedimentum	Actinobacteria	Micrococcales	Curtobacterium	465820	11081	1	1	1	1	0	0	0	0
Legionella rubrilucens	Proteobacteria	Legionellales	Legionella	458	5557	1	1	1	1	1	0	0	0
Cedecea davisae	Proteobacteria	Enterobacteriales	Cedecea	158484	4128	1	1	1	1	0	0	0	0
Wolinella succinogenes	Proteobacteria	Campylobacterales	Wolinella	844	4525	1	1	1	1	0	0	0	0
Prevotella loescheii	Bacteroidetes	Bacteroidales	Prevotella	840	2364	1	1	1	1	0	0	0	0
Alcanivorax sp. DG881	Proteobacteria	Oceanospirillales	Alcanivorax	236097	6600	1	1	1	1	0	1	0	0
Desulfovibrio magneticus	Proteobacteria	Desulfovibrionales	Desulfovibrio	184917	8234	1	1	1	1	0	0	0	0
Corallococcus coralloides	Proteobacteria	Myxococcales	Corallococcus	184914	7993	1	1	1	1	1	0	1	1
Acidovorax avenae	Proteobacteria	Burkholderiales	Acidovorax	80867	11102	1	1	1	1	0	0	1	0
Delftia acidovorans	Proteobacteria	Burkholderiales	Delftia	80866	23153	1	1	1	1	0	1	1	0
Caldilinea aerophila	Chloroflexi	Caldilineales	Caldilinea	133453	3929	0	1	0	0	0	1	1	0
Enterococcus dispar	Firmicutes	Lactobacillales	Enterococcus	44009	2552	0	0	0	0	0	0	0	0
Enterococcus cecorum	Firmicutes	Lactobacillales	Enterococcus	44008	24085	0	1	0	0	0	0	0	0
Sphingomonas sp. Root1294	Proteobacteria	Sphingomonadales	Sphingomonas	1736447	5009	1	1	1	1	0	0	1	0
Caldicellulosiruptor saccharolyticus	Firmicutes	Thermoanaerobacterales	Caldicellulosiruptor	44001	2196	0	0	0	1	0	0	0	0
Acidovorax citrulli	Proteobacteria	Burkholderiales	Acidovorax	80869	11769	1	1	1	1	0	0	1	0
Lactobacillus helveticus	Firmicutes	Lactobacillales	Lactobacillus	1587	31410	0	1	0	1	0	0	0	0
Streptococcus pasteurianus	Firmicutes	Lactobacillales	Streptococcus	197614	3944	1	1	1	1	0	0	0	0
Thermorudis peleae	Chloroflexi	root	Thermorudis	1382356	2501	0	1	0	0	0	1	0	0
Acidobacterium sp. PMMR2	Acidobacteria	Acidobacteriales	Acidobacterium	1382359	3035	1	1	1	1	0	0	1	0
Arthrobacter sp. H14	Actinobacteria	Micrococcales	Arthrobacter	1312959	3684	1	1	1	1	0	0	1	0
Achromobacter sp. DH1f	Proteobacteria	Burkholderiales	Achromobacter	1397275	6178	0	1	0	1	0	0	1	1
Bacillus sp. H1a	Firmicutes	Bacillales	Bacillus	1397276	4171	1	1	1	1	0	1	1	1
Wohlfahrtiimonas chitiniclastica	Proteobacteria	root	Wohlfahrtiimonas	400946	3307	1	1	1	1	0	0	0	0
Eubacterium acidaminophilum	Firmicutes	Clostridiales	Eubacterium	1731	2810	1	1	1	1	0	0	0	0
Lysobacter capsici	Proteobacteria	Xanthomonadales	Lysobacter	435897	17312	0	1	0	1	1	0	1	1
Holdemanella biformis	Firmicutes	Erysipelotrichales	Holdemanella	1735	2203	1	1	1	1	0	0	0	0
Herbaspirillum sp. RV1423	Proteobacteria	Burkholderiales	Herbaspirillum	1443993	5256	1	1	1	1	0	0	0	0
uncultured soil bacterium	root	root	root	164851	3993	0	0	0	0	0	0	0	0
Leptotrichia sp. oral taxon 225	Fusobacteria	Fusobacteriales	Leptotrichia	671213	2035	0	0	0	0	0	0	0	0
Thiolapillus brandeum	Proteobacteria	root	Thiolapillus	1076588	5725	1	1	1	1	0	0	0	0
Domibacillus robiginosus	Firmicutes	Bacillales	Domibacillus	1071054	4362	1	1	1	1	0	1	1	0
Candidatus Sodalis pierantonius	Proteobacteria	Enterobacteriales	Sodalis	1486991	3167	1	1	1	1	0	0	0	0
Coprococcus sp. HPP0074	Firmicutes	Clostridiales	Coprococcus	1078090	4990	1	1	1	1	0	0	0	0
Coprococcus sp. HPP0048	Firmicutes	Clostridiales	Coprococcus	1078091	4575	1	1	1	1	0	0	0	0
Vibrio hepatarius	Proteobacteria	Vibrionales	Vibrio	171383	8456	1	1	1	1	0	0	0	0
Streptomyces sp. PVA 94-07	Actinobacteria	Streptomycetales	Streptomyces	1223307	8786	1	1	1	1	0	0	1	0
Lactobacillus paracasei	Firmicutes	Lactobacillales	Lactobacillus	1597	32661	0	1	0	0	0	0	0	0
Streptomyces sp. NRRL S-920	Actinobacteria	Streptomycetales	Streptomyces	1463921	6378	1	1	1	1	1	0	1	0
Leuconostoc pseudomesenteroides	Firmicutes	Lactobacillales	Leuconostoc	33968	4736	0	0	0	0	0	0	0	0
Myxococcus hansupus	Proteobacteria	Myxococcales	Myxococcus	1297742	14880	1	1	1	1	1	0	1	1
Streptomyces sp. NRRL WC-3549	Actinobacteria	Streptomycetales	Streptomyces	1463925	4902	1	1	1	1	1	0	1	1
Leuconostoc citreum	Firmicutes	Lactobacillales	Leuconostoc	33964	9364	0	1	0	0	0	0	0	0
Peptoniphilus harei	Firmicutes	Tissierellales	Peptoniphilus	54005	4869	1	1	1	1	0	0	0	0
Lactobacillus sakei	Firmicutes	Lactobacillales	Lactobacillus	1599	10599	0	0	0	0	0	0	0	0
Lactobacillus reuteri	Firmicutes	Lactobacillales	Lactobacillus	1598	33752	0	1	0	0	0	0	0	0
Sphingomonas sp. DC-6	Proteobacteria	Sphingomonadales	Sphingomonas	1283312	3349	0	0	0	1	1	0	1	0
Streptomyces sp. NRRL S-87	Actinobacteria	Streptomycetales	Streptomyces	1463920	6376	1	1	1	1	0	1	1	0
Cupriavidus sp. WS	Proteobacteria	Burkholderiales	Cupriavidus	1312922	4062	0	1	1	0	0	0	1	0
Staphylococcus pasteuri	Firmicutes	Bacillales	Staphylococcus	45972	7209	0	1	0	0	1	0	0	0
Hoeflea sp. IMCC20628	Proteobacteria	Rhizobiales	Hoeflea	1620421	9422	1	1	1	1	0	0	1	0
Selenomonas bovis	Firmicutes	Selenomonadales	Selenomonas	416586	4345	1	1	1	1	0	0	0	0
Xylanimonas cellulosilytica	Actinobacteria	Micrococcales	Xylanimonas	186189	4601	1	1	1	1	0	0	0	0
Pseudomonas sp. P482	Proteobacteria	Pseudomonadales	Pseudomonas	1460691	7458	1	1	1	1	0	1	0	0
Gordonia desulfuricans	Actinobacteria	Corynebacteriales	Gordonia	89051	3225	0	1	0	1	0	1	0	0
Streptomyces yeochonensis	Actinobacteria	Streptomycetales	Streptomyces	89050	5653	1	1	1	1	0	0	1	0
Gordonia amicalis	Actinobacteria	Corynebacteriales	Gordonia	89053	7422	1	1	1	1	1	1	0	0
Mesorhizobium sp. Root172	Proteobacteria	Rhizobiales	Mesorhizobium	1736481	12494	1	1	1	1	0	0	1	0
Kitasatospora sp. Root187	Actinobacteria	Streptomycetales	Kitasatospora	1736486	6735	1	1	1	1	1	1	1	0
Noviherbaspirillum sp. Root189	Proteobacteria	Burkholderiales	Noviherbaspirillum	1736487	10642	1	1	1	1	1	1	1	0
Terrabacter sp. Root181	Actinobacteria	Micrococcales	Terrabacter	1736484	7107	1	1	1	1	1	0	1	0
Flavobacterium sp. Root186	Bacteroidetes	Flavobacteriales	Flavobacterium	1736485	8988	1	1	1	1	1	0	1	1
Lactobacillus acidipiscis	Firmicutes	Lactobacillales	Lactobacillus	89059	5873	0	1	0	0	0	0	0	0
Nocardioides sp. Root190	Actinobacteria	Propionibacteriales	Nocardioides	1736488	9196	1	1	1	1	0	1	1	0
Duganella sp. Root198D2	Proteobacteria	Burkholderiales	Duganella	1736489	7556	1	1	1	1	0	0	1	0
Clostridiaceae bacterium mt12	Firmicutes	Clostridiales	root	1658111	3137	1	1	1	1	0	1	0	0
Chryseobacterium oranimense	Bacteroidetes	Flavobacteriales	Chryseobacterium	421058	3544	1	1	1	1	1	0	0	0
Arthrospira platensis	Cyanobacteria	Oscillatoriales	Arthrospira	118562	7843	1	1	1	1	0	0	0	0
Novosphingobium pentaromativorans	Proteobacteria	Sphingomonadales	Novosphingobium	205844	4275	0	1	0	0	1	0	0	0
Acinetobacter sp. CIP 102136	Proteobacteria	Pseudomonadales	Acinetobacter	1144665	4633	1	1	1	1	0	0	0	0
Acinetobacter sp. CIP 102129	Proteobacteria	Pseudomonadales	Acinetobacter	1144664	4424	1	1	1	1	0	0	0	0
Dethiosulfovibrio peptidovorans	Synergistetes	Synergistales	Dethiosulfovibrio	47055	2369	0	0	0	0	0	0	0	0
Acinetobacter sp. CIP 102143	Proteobacteria	Pseudomonadales	Acinetobacter	1144666	3201	1	1	1	1	0	0	0	0
Acinetobacter sp. CIP 101934	Proteobacteria	Pseudomonadales	Acinetobacter	1144661	4349	1	1	1	1	1	0	0	0
Leptotrichia sp. oral taxon 215	Fusobacteria	Fusobacteriales	Leptotrichia	712359	2025	0	0	0	0	0	0	0	0
Acinetobacter sp. CIP 102082	Proteobacteria	Pseudomonadales	Acinetobacter	1144663	3248	1	1	1	1	1	0	0	0
Acinetobacter sp. CIP 101966	Proteobacteria	Pseudomonadales	Acinetobacter	1144662	4505	1	1	1	1	1	0	0	0
