Species	Phylum	Order	Genus	TaxID	Num_Prot	B12_producer	niacin_synthesis	biotin_synthesis	anaerobic_synthesis	aerobic_synthesis	early_pathway	late_pathway	MCM_B12_related	METE_B12_related	METH_B12_related	RNR_I_B12_related	RNR_II_B12_related	bluB_B12_related	btuB_B12_transport	btuC_B12_transport	btuD_B12_transport	btuF_B12_transport	cbiZ_2_B12_related	cobA_aerobe_aerobic_synthesis	cobI_aerobic_synthesis	cobG_aerobic_synthesis	cobJ_aerobic_synthesis	cobM_aerobic_synthesis	cobF_aerobic_synthesis	cobK_aerobic_synthesis	cobL_aerobic_synthesis	cobH_aerobic_synthesis	cobB_aerobic_synthesis	cobN_aerobic_synthesis	cobS_aerobe_aerobic_synthesis	cobT_aerobe_aerobic_synthesis	cobR_aerobic_synthesis	cobO_aerobic_synthesis	cobQ_aerobic_synthesis	cobD_aerobic_synthesis	cobP_aerobic_synthesis	cobV_aerobic_synthesis	cobU_aerobe_aerobic_synthesis	cysG_anaerobic_synthesis	cbiXL_anaerobic_synthesis	cbiK_anaerobic_synthesis	cbiL_anaerobic_synthesis	cbiH_anaerobic_synthesis	cbiF_anaerobic_synthesis	cbiG_anaerobic_synthesis	cbiD_anaerobic_synthesis	cbiJ_anaerobic_synthesis	cbiE_anaerobic_synthesis	cbiT_anaerobic_synthesis	cbiC_anaerobic_synthesis	cbiA_anaerobic_synthesis	fldA_anaerobic_synthesis	cobA_anaerobe_anaerobic_synthesis	cbiP_anaerobic_synthesis	cbiB_anaerobic_synthesis	cobU_anaerobe_anaerobic_synthesis	cobS_anaerobe_anaerobic_synthesis	cobT_anaerobe_anaerobic_synthesis	cobC_anaerobic_synthesis	cblT_B12_related	cblS_B12_related	bzaA_anaerobic_DMB	bzaB_anaerobic_DMB	bzaC_anaerobic_DMB	bzaD_anaerobic_DMB	bzaE_anaerobic_DMB	B12_related	B12_transport	not_in
Aliivibrio logei	Proteobacteria	Vibrionales	Aliivibrio	688	3589	0	1	1	4	4	0	0	0	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	9	3	"cobV,cobP,cobR,bluB,cbiXL,btuF,cobS_anaerobe,cobD,cbiD,cobF,cobG,pabC,cobB,cobC,cobL,cobN,cobH,cobI,cobJ,cobK,nrdB,nrdF,kmo,had,hpaB,cblS,bzaE,cobT_anaerobe,cobT_alt_dmb,fldA,cobS_aerobe,bzaD,cbiT,cblT,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,cbiG,cbiA,cbiB,cbiC,MCM,kynu,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Vibrio diazotrophicus	Proteobacteria	Vibrionales	Vibrio	685	4148	0	1	1	11	10	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	11	4	"bluB,cbiXL,cbiD,cobF,cobG,cobL,cobN,cobH,cobI,cobJ,cobK,kmo,had,hpaB,cblS,bzaE,cobS_aerobe,bzaD,cbiT,cblT,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,cbiG,cbiC,MCM,kynu,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Synechococcus sp. PCC 7335	Cyanobacteria	Chroococcales	Synechococcus	91464	10370	1	1	1	19	15	1	0	0	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	3	3	"RNR_II,bluB,btuF,cobF,pabC,cobK,nrdA,nrdB,nrdD,nrdE,nrdF,had,hpaB,cblS,bioD2,bzaE,cobT_anaerobe,cobT_alt_dmb,RNR_I,cobS_aerobe,cblT,cbiZ,nadX,cbiK,bzaC,MCM,kynu,METE,cobU_aerobe,cobT_aerobe,cbiZ_2,nrdZ"
Sporosarcina ureae	Firmicutes	Bacillales	Sporosarcina	1571	3160	0	1	0	9	10	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	0	1	1	12	3	"btuB,cbiD,cobF,cobB,cobL,cobN,cobO,cobH,cobJ,cobK,nrdD,nrdG,kmo,had,cblS,bioF,fldA,cobA_anaerobe,cobS_aerobe,cbiT,cblT,cbiL,cbiZ,cbiH,cbiJ,cbiK,bzaC,cbiG,cbiA,cbiC,cobT_aerobe,cbiE,nrdJ_alt"
Halobacillus halophilus	Firmicutes	Bacillales	Halobacillus	1570	3907	0	1	0	3	3	0	0	1	0	0	1	1	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	"bioB,cobV,cobP,cobQ,bluB,cobS_anaerobe,btuB,cobD,cbiD,cobF,cobG,cobB,cobC,cobL,cobN,cobO,cobH,cobI,cobJ,cobK,nrdD,nrdG,kmo,had,cblS,bioD2,bioD1,bzaE,cobT_anaerobe,cobT_alt_dmb,fldA,cobA_anaerobe,cobS_aerobe,bzaD,METH,cbiT,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,bzaB,bzaA,cbiG,cbiA,cbiB,cbiC,METE,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Vibrio campbellii	Proteobacteria	Vibrionales	Vibrio	680	46742	0	1	1	8	7	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	1	1	0	0	1	11	4	"cobR,bluB,cbiXL,cobD,cbiD,cobF,cobG,cobB,cobC,cobL,cobN,cobH,cobI,cobJ,cobK,kmo,had,hpaB,cblS,cobS_aerobe,bzaD,cbiT,cblT,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,cbiG,cbiA,cbiB,cbiC,MCM,kynu,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Leifsonia xyli	Actinobacteria	Micrococcales	Leifsonia	1575	6543	0	1	0	2	3	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	"cobV,cobP,cobQ,cobR,bluB,cbiXL,btuF,cobS_anaerobe,btuB,cobD,cbiD,cobF,pabC,cobB,cobC,cobL,cobN,cobO,cobH,cobI,cobJ,cobK,nrdD,nrdG,kmo,had,hpaB,cblS,bioD2,bioD1,bzaE,bioF,cobT_anaerobe,cobT_alt_dmb,fldA,cobA_anaerobe,cobS_aerobe,bzaD,METH,cbiT,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,bzaB,bzaA,cbiG,cbiA,cbiB,cbiC,MCM,kynu,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Pseudomonas sp. URHB0015	Proteobacteria	Pseudomonadales	Pseudomonas	1380376	5271	1	1	1	18	18	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	10	4	"cbiXL,nrdF,nrdG,kmo,hpaB,cblS,bzaE,fldA,cobS_aerobe,bzaD,cblT,cbiZ,nadX,cbiK,bzaC,MCM,cobT_aerobe,cbiZ_2,nrdJ_alt"
Intrasporangiaceae bacterium URHB0013	Actinobacteria	Micrococcales	root	1380370	3880	0	1	1	14	14	0	0	1	0	1	0	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	0	1	1	0	1	1	0	0	1	1	1	0	0	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	8	2	"cobV,cobQ,cobR,cbiXL,btuF,cobS_anaerobe,btuB,cbiD,cobF,pabC,nrdB,nrdD,nrdF,nrdG,kmo,had,hpaB,cblS,bioD2,bzaE,fldA,cobS_aerobe,bzaD,cblT,cbiP,cbiZ,nadX,cbiK,bzaC,bzaB,bzaA,cbiG,METE,cobT_aerobe,cbiZ_2,nrdJ_alt"
Paenibacillus sp. URHA0014	Firmicutes	Bacillales	Paenibacillus	1380372	6078	0	1	0	8	7	0	0	0	1	1	1	1	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	9	3	"bioB,cobR,bluB,cbiXL,btuB,cbiD,cobF,cobG,cobB,cobL,cobN,cobO,cobH,cobI,cobJ,cobK,nrdD,nrdG,kmo,had,hpaB,cblS,bioD2,bioD1,bzaE,bioF,fldA,cobA_anaerobe,cobS_aerobe,bzaD,cbiT,cblT,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,bzaB,bzaA,cbiG,cbiA,cbiC,MCM,kynu,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Chromobacterium vaccinii	Proteobacteria	Neisseriales	Chromobacterium	1108595	6593	1	1	1	17	13	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	0	11	4	"cobV,cobR,cobF,cobG,cobL,nrdF,had,hpaB,cblS,bzaE,fldA,cobS_aerobe,cbiT,cblT,cbiZ,nadX,cbiK,bzaC,MCM,kynu,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Nitrosospira lacus	Proteobacteria	Nitrosomonadales	Nitrosospira	1288494	5791	0	1	1	2	2	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	8	4	"cobV,cobP,cobQ,cobR,bluB,cbiXL,cobS_anaerobe,cobD,cbiD,cobF,cobG,pabC,cobB,cobC,cobL,cobN,cobO,cobH,cobI,cobJ,cobK,nrdD,nrdF,nrdG,kmo,had,hpaB,cblS,bzaE,cobT_anaerobe,cobT_alt_dmb,fldA,cobA_anaerobe,cobS_aerobe,bzaD,cbiT,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,cbiG,cbiA,cbiB,cbiC,MCM,kynu,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Synechococcus sp. GFB01	Cyanobacteria	Chroococcales	Synechococcus	1662190	3582	0	1	0	10	7	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	"RNR_II,cobV,cobQ,cobR,bluB,cbiXL,btuF,cobS_anaerobe,btuC,btuB,cobD,cobF,cobG,pabC,pabB,cobM,cobN,cobJ,cobK,nrdA,nrdB,nrdD,nrdE,nrdF,nrdG,kmo,had,hpaB,cblS,bio1,bzaE,bioF,cobT_anaerobe,cobT_alt_dmb,RNR_I,fldA,cobS_aerobe,METH,cbiT,cblT,cbiP,cbiZ,pabA,nadX,cbiH,cbiJ,cbiK,bzaC,bzaB,bzaA,cbiG,cbiB,MCM,kynu,METE,pabAB,cobU_aerobe,cobT_aerobe,cbiZ_2,nrdJ_alt,nrdZ"
Janthinobacterium sp. HH01	Proteobacteria	Burkholderiales	Janthinobacterium	1198452	11885	1	1	1	17	15	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	0	0	0	11	4	"cobF,cobG,pabC,cobC,cobK,nrdF,nrdG,had,hpaB,cblS,bzaE,fldA,cobS_aerobe,bzaD,cblT,cbiZ,nadX,cbiJ,cbiK,bzaC,cobT_aerobe,cbiZ_2,nrdJ_alt"
Nostoc sp. PCC 7107	Cyanobacteria	Nostocales	Nostoc	317936	10339	1	1	1	17	13	1	0	0	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1	3	3	"RNR_II,cobV,cobR,bluB,cbiXL,btuF,cobF,cobG,pabC,nrdA,nrdB,nrdD,nrdE,nrdF,had,hpaB,cblS,bioD2,bio1,cobT_anaerobe,cobT_alt_dmb,RNR_I,cobS_aerobe,cblT,cbiZ,nadX,cbiJ,cbiK,bzaC,MCM,kynu,METE,cobU_aerobe,cobT_aerobe,cbiZ_2,nrdZ"
Capnocytophaga canimorsus	Bacteroidetes	Flavobacteriales	Capnocytophaga	28188	25310	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	"cobV,cobP,cobQ,cobR,bluB,cbiXL,btuF,cobS_anaerobe,btuC,cobD,cbiD,cobF,cobG,cobB,cobC,cobL,cobM,cobN,cobO,cobH,cobI,cobJ,cobK,nrdB,nrdD,nrdF,nrdG,kmo,had,hpaB,cblS,bzaE,cobT_anaerobe,cobT_alt_dmb,fldA,cobA_anaerobe,cobS_aerobe,bzaD,METH,cobA_aerobe,cbiT,cysG,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,bzaB,bzaA,cbiG,cbiA,cbiB,cbiC,MCM,kynu,nadC,cbiF,nadA,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Capnocytophaga cynodegmi	Bacteroidetes	Flavobacteriales	Capnocytophaga	28189	12070	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	"cobV,cobP,cobQ,cobR,bluB,cbiXL,btuF,cobS_anaerobe,btuC,cobD,cbiD,cobF,cobG,cobB,cobC,cobL,cobM,cobO,cobH,cobI,cobJ,cobK,nrdD,nrdF,nrdG,kmo,had,hpaB,cblS,bioD2,bzaE,cobT_anaerobe,cobT_alt_dmb,fldA,cobA_anaerobe,cobS_aerobe,bzaD,METH,cobA_aerobe,cbiT,cysG,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,bzaB,bzaA,cbiG,cbiA,cbiB,cbiC,MCM,kynu,METE,nadC,cbiF,nadA,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Mycobacterium llatzerense	Actinobacteria	Corynebacteriales	Mycobacterium	280871	9068	1	1	0	12	16	1	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	0	0	11	2	"cobV,cbiXL,btuF,cobS_anaerobe,btuB,cbiD,cobG,pabC,nrdD,nrdG,had,hpaB,cblS,bioD2,bioD1,bzaE,fldA,cobS_aerobe,bzaD,cbiT,cblT,cbiZ,nadX,cbiJ,cbiK,bzaC,cbiG,kynu,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Acetohalobium arabaticum	Firmicutes	Halanaerobiales	Acetohalobium	28187	2276	1	1	0	19	15	1	0	0	0	1	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	8	4	"cobR,bluB,cobG,cobN,nrdB,nrdD,nrdF,nrdG,kmo,had,hpaB,bzaE,bioF,fldA,cobS_aerobe,bzaD,cbiZ,nadX,cbiK,bzaC,MCM,kynu,METE,cobT_aerobe,cbiZ_2,nrdJ_alt"
Leptospira weilii	Spirochaetes	root	Leptospira	28184	23897	1	1	1	18	14	1	0	1	0	1	0	1	0	1	0	1	1	0	1	1	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	0	4	3	"bluB,btuC,cobF,cobG,pabC,cobN,cobK,nrdA,nrdB,nrdD,nrdE,nrdF,nrdG,kmo,had,hpaB,cblS,bioD2,bzaE,RNR_I,fldA,cobS_aerobe,cblT,cbiZ,nadX,cbiJ,cbiK,bzaC,kynu,METE,cobT_aerobe,cbiZ_2,nrdJ_alt"
Leptospira noguchii	Spirochaetes	root	Leptospira	28182	25737	1	1	1	18	14	1	0	1	0	1	0	1	0	1	0	1	0	0	1	1	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	4	2	"bluB,btuF,btuC,cobF,cobG,pabC,cobN,cobK,nrdA,nrdB,nrdD,nrdE,nrdF,nrdG,kmo,had,hpaB,cblS,bioD2,bzaE,RNR_I,fldA,cobS_aerobe,bzaD,cblT,cbiZ,nadX,cbiJ,cbiK,bzaC,kynu,METE,cobT_aerobe,cbiZ_2,nrdJ_alt"
Leptospira santarosai	Spirochaetes	root	Leptospira	28183	54224	1	1	1	18	14	1	0	1	0	1	0	1	0	1	0	1	0	0	1	1	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	0	4	2	"bluB,btuF,btuC,cobF,cobG,pabC,cobN,cobK,nrdA,nrdB,nrdD,nrdE,nrdF,nrdG,kmo,had,cblS,bioD2,bzaE,RNR_I,fldA,cobS_aerobe,cblT,cbiZ,nadX,cbiJ,cbiK,bzaC,kynu,METE,cobT_aerobe,cbiZ_2,nrdJ_alt"
Shewanella waksmanii	Proteobacteria	Alteromonadales	Shewanella	213783	4172	0	1	1	10	7	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	11	4	"cobR,bluB,cbiXL,cobD,cbiD,cobF,cobG,cobB,cobC,cobL,cobN,cobH,cobI,cobJ,cobK,kmo,had,hpaB,cblS,bzaE,cobS_aerobe,bzaD,cbiT,cblT,cbiL,cbiZ,nadX,cbiJ,cbiK,bzaC,cbiG,cbiA,cbiC,MCM,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Ruminococcus sp. CAG:57	Firmicutes	Clostridiales	Ruminococcus	1262962	2263	0	1	0	4	3	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	3	1	"bioB,RNR_II,cobV,cobP,cobQ,cobR,bluB,cbiXL,btuF,cobS_anaerobe,btuC,btuB,cbiD,cobF,cobG,pabC,cobB,cobL,cobN,cobO,cobH,cobI,cobJ,cobK,nrdA,nrdB,nrdE,nrdF,kmo,had,hpaB,cblS,bioD2,bioD1,bio1,bzaE,bioF,cobT_anaerobe,cobT_alt_dmb,RNR_I,fldA,cobA_anaerobe,cobS_aerobe,bzaD,cbiT,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,cbiG,cbiA,cbiC,MCM,kynu,METE,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt,nrdZ"
Ruminococcus sp. CAG:563	Firmicutes	Clostridiales	Ruminococcus	1262961	2054	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	"bioB,RNR_II,cobV,cobP,cobQ,cobR,bluB,cbiXL,btuF,cobS_anaerobe,btuC,btuB,cobD,cbiD,cobF,cobG,pabC,pabB,cobB,cobC,cobL,cobM,cobN,cobO,cobH,cobI,cobJ,cobK,nrdA,nrdB,nrdE,nrdF,nrdG,kmo,had,hpaB,cblS,bioD2,bioD1,bio1,bzaE,bioF,cobT_anaerobe,cobT_alt_dmb,RNR_I,fldA,cobA_anaerobe,cobS_aerobe,bzaD,cobA_aerobe,cbiT,cysG,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,bzaB,bzaA,cbiG,cbiA,cbiB,cbiC,MCM,kynu,METE,nadC,cbiF,nadA,cobU_anaerobe,pabAB,cobU_aerobe,nadB,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt,nrdZ"
Ruminococcus sp. CAG:55	Firmicutes	Clostridiales	Ruminococcus	1262960	2124	1	0	1	18	12	1	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	3	2	"RNR_II,cobP,cobR,bluB,cbiXL,btuF,btuB,cobF,cobG,pabC,pabB,cobN,cobK,nrdA,nrdB,nrdE,nrdF,kmo,had,hpaB,cblS,bzaE,RNR_I,fldA,cobS_aerobe,bzaD,cblT,cbiZ,nadX,bzaC,MCM,kynu,METE,nadA,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt,nrdZ"
Ruminococcus sp. CAG:9	Firmicutes	Clostridiales	Ruminococcus	1262967	2491	1	1	0	19	12	1	0	0	0	1	1	0	0	0	1	1	0	1	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	4	2	"RNR_II,cobR,bluB,cbiXL,btuF,btuB,cobF,cobG,pabC,cobN,cobO,cobK,nrdA,nrdB,nrdE,nrdF,kmo,had,hpaB,cblS,bio1,bzaE,bioF,RNR_I,fldA,cobS_aerobe,bzaD,cblT,cbiZ,nadX,bzaC,MCM,kynu,METE,cobT_aerobe,nrdJ_alt,nrdZ"
Ruminococcus sp. CAG:60	Firmicutes	Clostridiales	Ruminococcus	1262964	2747	1	1	0	18	12	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	3	3	"bioB,RNR_II,cobR,bluB,cbiXL,btuB,cbiD,cobF,cobG,pabC,cobN,cobO,cobK,nrdA,nrdB,nrdE,nrdF,kmo,had,hpaB,cblS,bioD2,bioD1,bio1,bzaE,bioF,RNR_I,fldA,cobS_aerobe,bzaD,cblT,cbiZ,nadX,bzaC,bzaB,bzaA,MCM,kynu,METE,cobT_aerobe,cbiZ_2,nrdJ_alt,nrdZ"
Ruminococcus sp. CAG:90	Firmicutes	Clostridiales	Ruminococcus	1262968	2009	1	1	0	18	11	1	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	3	2	"bioB,RNR_II,cobP,cobR,bluB,cbiXL,btuF,btuB,cobF,cobG,cobN,cobO,cobI,nrdA,nrdB,nrdE,nrdF,kmo,had,hpaB,cblS,bioD2,bioD1,bio1,bzaE,bioF,RNR_I,fldA,cobS_aerobe,bzaD,cblT,cbiL,cbiZ,nadX,bzaC,MCM,kynu,METE,cobT_aerobe,cbiZ_2,nrdJ_alt,nrdZ"
Nonlabens sediminis	Bacteroidetes	Flavobacteriales	Nonlabens	319236	4823	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	"cobV,cobP,cobQ,cobR,bluB,cbiXL,cobS_anaerobe,cobD,cbiD,cobF,cobG,cobB,cobC,cobL,cobM,cobN,cobO,cobH,cobI,cobJ,cobK,nrdB,nrdD,nrdF,nrdG,hpaB,cblS,bzaE,cobT_anaerobe,cobT_alt_dmb,fldA,cobA_anaerobe,cobS_aerobe,bzaD,METH,cobA_aerobe,cbiT,cysG,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,bzaB,bzaA,cbiG,cbiA,cbiB,cbiC,METE,cbiF,nadA,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Rhizobium sp. Leaf384	Proteobacteria	Rhizobiales	Rhizobium	1736358	4208	1	1	0	14	20	0	1	1	0	0	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	0	0	0	5	2	"bioB,cbiXL,btuF,btuB,cbiD,pabC,cobC,nrdA,nrdB,nrdD,nrdF,nrdG,kmo,had,hpaB,cblS,bioD2,bioD1,bzaE,RNR_I,fldA,bzaD,METH,cblT,cbiZ,nadX,cbiJ,cbiK,bzaC,cbiG,kynu,METE,cbiZ_2,nrdJ_alt"
Rhizobium sp. Leaf386	Proteobacteria	Rhizobiales	Rhizobium	1736359	6033	1	1	1	14	19	1	0	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	0	0	0	5	3	"cbiXL,btuF,cbiD,cobC,cobN,nrdA,nrdB,nrdD,nrdE,nrdF,nrdG,kmo,had,hpaB,cblS,bzaE,RNR_I,fldA,bzaD,cblT,cbiZ,nadX,cbiJ,cbiK,bzaC,cbiG,kynu,METE,cbiZ_2,nrdJ_alt"
